question,option_one,option_two,option_three,option_four,answer
पू. आनंदऋषिजी म.सा. की संयम पर्याय कितने वर्ष की रही? ,78,80,79,92,3
पू. किरणप्रभाजी म.सा. के गुरु का नाम बताइए।,किशनऋषिजी म., मोहनऋषिजी म., उत्तमऋषिजी म., देवजीऋषिजी म.,2
पू. किरणप्रभाजी म.सा. के गुरुणीसा का नाम बताइए।,प्रमोदसुधाजी म., विनयकंवरजी म., शांतिकंवरजी म., उज्ज्वलकुमारीजी म. ,4
पू. किरणप्रभाजी म.सा. के जन्म जयंति पर कौनसा खेल निकाला?,जैना इलेक्ट्रॉ, जैना अॅक्टिव्हिटी, जैना कार्डस्, जैना पझल,3
पू. आनंदऋषिजी म.सा. के समाधि स्थल का नाम क्या है?,आनंदधाम, आनंद स्मारक, आनंद स्थान, आनंद समाधि,1
पू. किरणप्रभाजी म.सा.  के नाम से स्कूल कहां है? ,दिग्रस, पाचोरा, अहमदनगर, जलगांव,2
आनंदऋषिजी हॉस्पिटल किस शहर में है?,पुणा, बंबई, अहमदनगर,नासिक,3
पू. किरणप्रभाजी म.सा. का विशेषण क्या है?,मधुरवक्ता, साध्वीरत्ना, शास्त्र विशारदा, संयमसाधिका,2
पू. किरणप्रभाजी म.सा. की जन्मभूमि कहां है? ,दिग्रस, ढाणकी, यवतमाल, नागपुर ,1
पू. किरणप्रभाजी म.सा. ने अखंड मौन साधना कितने दिन की?,३०० दिन, १०१ दिन, १ दिन, १ वर्ष,4
पू. आनंदऋषिजी म.सा. किस संघ के आचार्य रहे?,गोंडल सम्प्रदाय, श्रमण संघ, ऋषि सम्प्रदाय, कोटा सम्प्रदाय,2
